Model,PR-AUC,ROC-AUC,Precision@10,Recall@10,Precision@25,Recall@25,Precision@50,Recall@50,Precision@100,Recall@100
BSAD (Bayesian),0.034362441914757916,0.28409370841011466,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.003787878787878788
Isolation Forest,0.0650397268664431,0.575988719543407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One-Class SVM,0.11248730687916098,0.6917349700552826,0.0,0.0,0.2,0.01893939393939394,0.18,0.03409090909090909,0.09,0.03409090909090909
LOF,0.09904667512386192,0.5858631180896806,0.6,0.022727272727272728,0.36,0.03409090909090909,0.18,0.03409090909090909,0.15,0.056818181818181816
